uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score,block,ext_idx,lr
122,/root/dev/NASChain/cache/models--luaqi--nas11386949/snapshots/8a53cf07e05f89b07042943872dc0ca185aa839e/model.pt,8a53cf07e05f89b07042943872dc0ca185aa839e,2024-10-27 14:46:05+00:00,2024-10-27 14:55:10,100000.0,93.0,True,False,False,True,luaqi/nas11386949,25000000.0,0.0,4135425.0,2147483647.0,0.104
28,/root/NASChain/cache/models--luuluumando--naschain/snapshots/9c4d1f93554c558c1b36d5dd92fd721745a8f340/model.pt,9c4d1f93554c558c1b36d5dd92fd721745a8f340,2024-06-29 10:24:47+00:00,2024-08-29 08:51:39,1000000.0,82.0,True,False,False,False,luuluumando/naschain,7000000.0,0.0,3283694.0,2147483647.0,0.025
32,/root/NASChain/cache/models--impossibleexchange--nas2/snapshots/5d910b98ad47c6676d015ec8c2f0bd1d6e0bf7d1/model.pt,5d910b98ad47c6676d015ec8c2f0bd1d6e0bf7d1,2024-08-03 17:10:14+00:00,2024-08-29 08:51:57,1000000.0,78.0,True,False,False,False,impossibleexchange/nas2,7000000.0,0.0,3527991.0,2147483647.0,0.025
43,/root/NASChain/cache/models--bazooka-gh--bazooka1v8/snapshots/5d7bc0cdd6df988fbb40cd6d330662096e27fcb9/model.pt,5d7bc0cdd6df988fbb40cd6d330662096e27fcb9,2024-08-15 23:54:07+00:00,2024-08-29 08:52:52,100000.0,87.0,True,False,False,True,bazooka-gh/bazooka1v8,8000000.0,0.0,3614675.0,2147483647.0,0.025
64,/root/NASChain/cache/models--impossibleexchange--nas6/snapshots/47297856e6a3891350fdf157341371ba4e43273f/model.pt,47297856e6a3891350fdf157341371ba4e43273f,2024-08-03 18:33:36+00:00,2024-08-29 08:55:30,1000000.0,83.0,True,False,False,False,impossibleexchange/nas6,7000000.0,0.0,3528405.0,2147483647.0,0.025
73,/root/NASChain/cache/models--RobertML--naschain/snapshots/70462cd21df12375443d9f1244f6e458fe774059/model.pt,70462cd21df12375443d9f1244f6e458fe774059,2024-07-12 21:50:24+00:00,2024-08-29 08:56:58,1000000.0,93.0,True,False,False,True,RobertML/naschain,310000000.0,0.0,3372765.0,2147483647.0,0.025
16,/root/.bittensor/subnets/NASChain/cache/models--papagruz4--naschain_5/snapshots/40e883ee308fcb18080d5aa156acf27c7c56617f/model.pt,40e883ee308fcb18080d5aa156acf27c7c56617f,2024-10-07 13:04:46+00:00,2024-10-07 13:28:31,30000.0,81.0,True,False,False,False,papagruz4/naschain_5,5000000.0,0.0,3991149.0,2147483647.0,0.025
7,/root/.bittensor/subnets/NASChain/cache/models--summertime0--nashk4/snapshots/b8332a41781701c71f342a5558fd3835580db348/model.pt,b8332a41781701c71f342a5558fd3835580db348,2024-10-01 15:07:26+00:00,2024-10-01 15:19:04,50000.0,83.0,True,False,False,False,summertime0/nashk4,3000000.0,0.0,3948570.0,2147483647.0,0.025
8,/root/NASChain/cache/models--hungkvbn--8hk2v3/snapshots/7ec4f868646b8f67cd6593ee340b3f975322dddb/model.pt,7ec4f868646b8f67cd6593ee340b3f975322dddb,2024-09-09 02:05:03+00:00,2024-09-09 02:06:09,90000.0,86.0,True,False,False,False,hungkvbn/8hk2v3,8000000.0,0.0,3786357.0,2147483647.0,0.025
47,/root/NASChain/cache/models--honghee3--naschain/snapshots/2fad2097419f5cbe8d88c980b1652d302831a2a9/model.pt,2fad2097419f5cbe8d88c980b1652d302831a2a9,2024-09-01 06:37:08+00:00,2024-09-01 10:05:42,60000.0,75.0,True,False,False,True,honghee3/naschain,2000000.0,0.0,3730541.0,2147483647.0,0.025
1,/root/.bittensor/subnets/NASChain/cache/models--papagruz8--naschain_5/snapshots/d0a58636d46ad9330dba590ef75c8eaa9e6a4cda/model.pt,d0a58636d46ad9330dba590ef75c8eaa9e6a4cda,2024-10-07 18:42:52+00:00,2024-10-07 18:53:02,40000.0,81.0,True,False,False,False,papagruz8/naschain_5,5000000.0,0.0,3992839.0,2147483647.0,0.025
23,/root/.bittensor/subnets/NASChain/cache/models--papagruz6--naschain_5/snapshots/93be2f192f7308395c5a48d25f98672fd1635795/model.pt,93be2f192f7308395c5a48d25f98672fd1635795,2024-10-07 18:41:44+00:00,2024-10-07 18:54:21,40000.0,81.0,True,False,False,False,papagruz6/naschain_5,5000000.0,0.0,3992834.0,2147483647.0,0.025
